	day30_rep1_tbx5_ge	day30_rep2_tbx5_ge	day30_rep1_tbx5	day30_rep2_tbx5	day30_rep1_tbx5_oe	day30_rep2_tbx5_oe
EFHD2	1642	1817	1226	1056	447	940
CTRC	3	11	1	2	3	0
CELA2A	3	1	0	2	2	1
LOC105376767	2	3	0	2	3	0
CELA2B	3	7	4	4	5	12
CASP9	228	551	600	807	480	720
DNAJC16	745	773	1076	1036	700	1036
SCARNA21B	0	0	0	0	0	0
AGMAT	45	36	88	37	10	12
LOC124903854	4	5	0	6	1	1
DDI2	1086	1415	975	825	958	1383
RSC1A1	0	0	0	2	0	1
PLEKHM2	2993	7936	3976	7427	3761	4837
SLC25A34	53	59	99	225	53	85
SLC25A34-AS1	0	1	0	5	0	1
TMEM82	7	2	5	8	0	0
FBLIM1	6691	3756	5921	13773	3134	5009
UQCRHL	29	49	22	81	98	52
SPEN-AS1	263	266	501	891	505	544
SPEN	2495	4951	2184	2901	2207	2941
LOC124904815	0	0	0	1	0	0
ZBTB17	1146	1286	1212	1845	1077	1538
LOC124903855	18	40	26	40	32	20
SRARP	2	1	0	1	1	0
HSPB7	5423	5362	23753	68645	63599	61396
CLCNKA	27	22	48	134	129	110
CLCNKB	41	72	119	266	266	292
FAM131C	15	14	47	176	83	74
EPHA2	6479	11095	5011	5379	3845	5317
EPHA2-AS1	51	141	36	71	95	95
ARHGEF19	282	326	315	374	62	207
ANO7L1	13	11	11	12	12	13
CPLANE2	182	290	271	397	144	196
FBXO42	1069	2462	1348	1607	1662	1769
SZRD1	5071	7931	4150	5916	3995	5090
SPATA21	2	9	2	0	3	3
NECAP2	2494	3662	1663	2021	765	1405
LINC01772	10	17	46	42	31	46
CROCCP3	102	74	355	415	175	251
RNU1-1	1	2	0	1	1	0
TRN-GTT5-1	0	0	0	0	0	0
LINC01783	0	2	2	0	7	4
TRE-TTC4-1	0	0	0	0	0	0
LOC124903856	0	0	0	0	0	0
TRG-CCC1-1	1	0	0	0	0	0
NBPF1	616	408	1016	1043	488	612
LOC124900584	438	751	561	848	476	473
CROCCP2	126	259	224	292	179	235
MST1P2	39	74	109	107	30	75
RNU1-3	0	0	0	0	0	0
LOC124903857	0	0	0	0	0	0
TRG-CCC4-1	0	0	0	0	0	0
ESPNP	1	5	2	0	0	0
LOC124903858	0	0	0	0	0	0
TRG-CCC5-1	0	0	0	0	0	0
LOC124903859	0	2	1	5	0	2
RNU1-4	0	0	0	0	0	0
MST1L	13	19	21	28	2	8
MIR3675	0	0	0	0	0	0
TRG-CCC1-2	0	0	0	0	0	0
LOC112267871	3	4	2	3	20	14
TRE-TTC3-1	0	0	0	0	0	0
LOC105376805	39	93	41	53	32	10
TRN-GTT4-1	0	0	0	0	0	0
RNU1-2	9	9	1	1	3	2
CROCC	518	570	1754	2040	276	713
MFAP2	1393	611	5124	7919	751	2602
LOC105376806	59	37	260	352	62	142
ATP13A2	2285	2440	3220	4611	1294	2099
SDHB	1101	2352	1533	1925	2689	2580
PADI2	36	18	1047	317	50	656
LOC124903861	0	0	1	0	0	0
LOC105376808	0	0	0	0	0	0
LINC02783	11	0	10	1	1	2
PADI1	23	3	47	31	0	9
PADI3	1	2	2	3	3	0
MIR3972	1	0	1	0	0	0
PADI4	2	1	0	0	0	0
PADI6	0	2	1	0	1	3
RCC2	4477	4978	3425	3320	1694	2144
RCC2-AS1	0	0	0	0	0	0
LOC124903862	2	0	16	5	3	16
LOC124904837	0	1	0	0	0	0
ARHGEF10L	994	1071	1953	3851	2245	1957
LINC02810	4	6	1	2	3	3
ACTL8	1	1	2	1	0	0
LOC105376809	2	1	0	0	0	0
LOC105376812	0	0	0	0	0	0
LINC01654	0	0	0	0	0	0
IGSF21	1	2	0	11	1	6
IGSF21-AS1	0	0	0	0	0	0
LOC124903864	0	0	0	0	0	0
LOC124903863	0	3	1	1	0	0
LOC124903865	1	0	12	4	1	12
KLHDC7A	17	123	57	64	6	20
PAX7	5	7	0	1	4	0
TAS1R2	0	6	0	1	1	0
ALDH4A1	504	453	2140	3323	1563	2086
MIR4695	0	0	0	0	0	0
MIR1290	0	0	1	0	1	0
LOC124903866	3	4	8	25	26	11
